Date,Spot,Futures
1996-07-01,1930.670044,1924.75
1996-08-01,2003.369995,2001.5
1996-09-01,1972.290039,1965.5
1996-10-01,2018.050049,2011.5
1996-11-01,2067.560059,2066.25
1996-12-01,2058.899902,2052.5
1997-01-01,1994.98999,1988.5
1997-02-01,2104.5,2102.75
1997-03-01,2067.889893,2060.75
1997-04-01,2085.51001,2079
1997-05-01,2107.389893,2106
1997-06-01,2063.110107,2054.5
1997-07-01,2103.840088,2098.5
1997-08-01,1972.180054,1969.25
1997-09-01,1920.030029,1908.75
1997-10-01,2079.360107,2073.75
1997-11-01,2080.409912,2079.75
1997-12-01,2043.939941,2035.5
1998-01-01,1940.23999,1930
1998-02-01,1932.22998,1929.5
1998-03-01,2059.73999,2051.5
1998-04-01,2065.300049,2059
1998-05-01,2096.949951,2095
1998-06-01,2098.860107,2090.25
1998-07-01,2173.600098,2168.25
1998-08-01,2170.949951,2169.5
1998-09-01,2168.27002,2160.5
1998-10-01,2126.149902,2120
1998-11-01,2198.810059,2198.75
1998-12-01,2238.830078,2236.25
1999-01-01,2278.870117,2274.5
1999-02-01,2363.639893,2362.75
1999-03-01,2362.719971,2359.25
1999-04-01,2384.199951,2380.5
1999-05-01,2411.800049,2411
1999-06-01,2423.409912,2421
1999-07-01,2470.300049,2468
1999-08-01,2471.649902,2470
1999-09-01,2519.360107,2516
1999-10-01,2575.26001,2572.75
1999-11-01,2584.840088,2648
1999-12-01,2673.610107,2676
2000-01-01,2823.810059,2825.75
2000-02-01,2713.830078,2714.5
2000-03-01,2640.870117,2643
